"*🇬🇧 English*", "07/25/2024 5:08 PM"
"*🇮🇹 Italian*", "25/07/2024 17:08"
"*🇨🇳 Chinese*", "2024/07/25 17:08"
"*🇳🇱 Dutch*", "25-07-2024 17:08"
"*🇩🇪 German*", "25.07.2024 17:08"
"*🇮🇳 Hindi*", "२५/०७/२०२४ शाम ५:१३ बजे"
"*🇯🇵 Japanese*", "2024/07/25 17:08"
"*🇵🇹 Portuguese*", "25/07/2024 17:08"
"*🇵🇱 Polish*", "25/07/2024 17:08"
"*🇧🇷 Portuguese (Brasil)*", "25/07/2024 17:08"
"*🇷🇴 Romanian*", "25.07.2024 17:08"
"*🇷🇺 Russian*", "25.07.2024 17:08"
"*🇪🇸 Spanish*", "25/07/2024 17:08"
"*🇹🇭 Thai*", "25/07/2024 17:08"
"*🇹🇷 Turkish*", "25.07.2024 17:08"
"*🇫🇷 French*", "25/07/2024 17:08"
"*🇻🇳 Vietnamese*", "25/07/2024 17:08"

